Title,Company,Location,Country,Date_Posted,Job_URL
Electrical Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Electrical-Engineer/857038923/
Rotating Equipment Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Rotating-Equipment-Engineer/857039623/
Process Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Process-Engineer/857039323/
Drilling Foreman,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Drilling-Foreman/857038823/
Plant Corrosion Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Plant-Corrosion-Engineer/857039223/
Instrumentation & Control Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Instrumentation-&-Control-Engineer/857039023/
Reliability & Asset Integrity Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Reliability-&-Asset-Integrity-Engineer/857086223/
Drilling Foreman,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Drilling-Foreman/857086623/
Operational Auditor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Operational-Auditor/857038523/
Continuous Improvement Consultant,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Continuous-Improvement-Consultant/857086123/
Lead Portfolio Manager,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Lead-Portfolio-Manager/857134923/
Senior Downstream Planning & Performance Management Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Senior-Downstream-Planning-&-Performance-Management-Analyst/857109223/
Electrical Project Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Electrical-Project-Engineer/857109923/
Oil & Gas Financial Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Oil-&-Gas-Financial-Analyst/857110623/
Sr Counsel I,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Sr-Counsel-I/857085023/
Accounting Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Accounting-Analyst/857110923/
Computational Research Expert (Material Discovery),Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Computational-Research-Expert-%28Material-Discovery%29/857085923/
Downstream Sustainability Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Downstream-Sustainability-Specialist/857110723/
Mechanical Project Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Mechanical-Project-Engineer/857109523/
Lead Mechanical Project Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Lead-Mechanical-Project-Engineer/857110023/
Planning & Performance Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Planning-&-Performance-Analyst/857110423/
Strategic Workforce Planning Consultant,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Strategic-Workforce-Planning-Consultant/857085823/
Executive Assessment Lead,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Executive-Assessment-Lead/857085523/
Engineering Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Engineering-Specialist/857132423/
Lead Financial Reporting & Performance Analyst,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Lead-Financial-Reporting-&-Performance-Analyst/857108423/
"Lead Downstream Finance, Planning & Performance Management Analyst",Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Lead-Downstream-Finance%2C-Planning-&-Performance-Management-Analyst/857108523/
"Governance, Risk & Compliance Specialist",Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Governance%2C-Risk-&-Compliance-Specialist/857108723/
Senior Planning & Performance Management Advisor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Senior-Planning-&-Performance-Management-Advisor/857108323/
Contracts Advisor,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Contracts-Advisor/857106023/
Banking Operations Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/job/Banking-Operations-Specialist/857104823/
Rotating Equipment Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Rotating-Equipment-Engineer/857105623/
Senior Project Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Senior-Project-Engineer/857107623/
Business Development Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Business-Development-Specialist/857037823/
Business Development Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Business-Development-Specialist/857038023/
